time,latitude,longitude,altitude
2024-09-13 11:40:20,58.0909625,26.6904531,169.77
2024-09-13 11:40:20,58.09097,26.6905098,167.58
2024-09-13 11:40:21,58.0909695,26.6905103,167.58
2024-09-13 11:40:21,58.0909691,26.6905107,167.58
2024-09-13 11:40:22,58.0909689,26.690511,167.58
2024-09-13 11:40:22,58.0909686,26.6905112,167.6
2024-09-13 11:40:23,58.0909683,26.6905114,167.62
2024-09-13 11:40:23,58.0909678,26.6905116,167.63
2024-09-13 11:40:24,58.0909674,26.6905118,167.11
2024-09-13 11:40:24,58.0909668,26.6905122,167.09
2024-09-13 11:40:25,58.0909663,26.6905124,167.08
2024-09-13 11:40:25,58.090966,26.6905125,167.06
2024-09-13 11:40:26,58.0909655,26.6905125,167.05
2024-09-13 11:40:26,58.0909653,26.6905123,167.05
2024-09-13 11:40:27,58.090965,26.6905123,167.05
2024-09-13 11:40:27,58.0909648,26.6905121,167.05
2024-09-13 11:40:28,58.0909648,26.6905123,167.04
2024-09-13 11:40:28,58.0909647,26.6905122,167.05
2024-09-13 11:40:29,58.0909645,26.6905121,167.06
2024-09-13 11:40:29,58.0909644,26.690512,167.07
2024-09-13 11:40:30,58.0909644,26.6905115,166.89
2024-09-13 11:40:30,58.0909647,26.6905105,166.89
2024-09-13 11:40:31,58.0909651,26.6905109,166.86
2024-09-13 11:40:31,58.0909653,26.690511,166.86
2024-09-13 11:40:32,58.0909654,26.6905112,166.87
2024-09-13 11:40:32,58.0909655,26.690511,166.91
2024-09-13 11:40:33,58.0909657,26.6905107,166.95
2024-09-13 11:40:33,58.090966,26.6905109,166.97
2024-09-13 11:40:34,58.0909659,26.6905117,166.96
2024-09-13 11:40:34,58.0909658,26.6905126,166.94
2024-09-13 11:40:35,58.0909657,26.6905137,166.91
2024-09-13 11:40:35,58.0909658,26.6905149,166.88
2024-09-13 11:40:36,58.0909659,26.690516,168.07
2024-09-13 11:40:36,58.0909661,26.6905172,168.05
2024-09-13 11:40:37,58.0909663,26.6905182,168.03
2024-09-13 11:40:37,58.0909664,26.6905192,168.02
2024-09-13 11:40:38,58.0909666,26.6905198,168.01
2024-09-13 11:40:38,58.0909668,26.6905202,168.03
2024-09-13 11:40:39,58.0909669,26.6905203,168.06
2024-09-13 11:40:39,58.0909672,26.6905206,168.07
2024-09-13 11:40:40,58.0909675,26.6905206,168.08
2024-09-13 11:40:40,58.0909675,26.6905203,168.08
2024-09-13 11:40:41,58.0909675,26.6905198,168.08
